# Word-specific describer hints: english|hint_en|hint_ar
# Words not listed here fall back to their category hint.
Launchpad|The platform rockets blast off from.|المنصة التي تنطلق منها الصواريخ.
Alien|Creature from another planet.|كائن من كوكب آخر.
UFO|Mysterious flying object in the sky.|جسم طائر غامض في السماء.
Venus|The brightest planet, named after beauty.|ألمع الكواكب وسمي باسم الجمال.
Mars|The red planet robots explore.|الكوكب الأحمر الذي تستكشفه الروبوتات.
Jupiter|The biggest planet with a giant red spot.|أكبر الكواكب وعليه بقعة حمراء عملاقة.
Saturn|The planet with beautiful rings.|الكوكب ذو الحلقات الجميلة.
North Star|The fixed star travelers follow north.|النجم الثابت الذي يتبعه المسافرون شمالا.
Banjo|Round American string instrument of country music.|آلة وترية أمريكية مستديرة لموسيقى الريف.
Cello|Big violin played sitting, held between knees.|كمان كبير يعزف جلوسا بين الركبتين.
Clarinet|Black wind instrument with silver keys.|آلة نفخ سوداء بمفاتيح فضية.
Oboe|Wind instrument tuning the whole orchestra.|آلة نفخ تضبط عليها الأوركسترا كلها.
Harmonica|Pocket instrument you slide across your lips.|آلة جيب نمررها على الشفاه.
Bagpipes|Scottish instrument of a bag and pipes.|آلة اسكتلندية من كيس وأنابيب.
Xylophone|Colorful bars you hit with small hammers.|قضبان ملونة تضرب بمطارق صغيرة.
Organ|Giant piano with pipes in churches.|بيانو عملاق بأنابيب في الكنائس.
Cymbals|Two metal plates crashed together.|صفيحتان معدنيتان تصطكان معا.
Triangle|Metal triangle struck with a rod, ting!|مثلث معدني يقرع بقضيب، تينغ!
Gong|Huge metal disc booming when struck.|قرص معدني ضخم يدوي عند الضرب.
Bell|Rings in schools and towers, ding dong.|يرن في المدارس والأبراج، دينغ دونغ.
Note|One single musical sound written as a symbol.|صوت موسيقي واحد يكتب رمزا.
Stage|The raised floor performers stand on.|الأرضية المرتفعة التي يقف عليها المؤدون.
Audience|The people watching the show.|الناس الذين يشاهدون العرض.
Band|Small group playing music together.|مجموعة صغيرة تعزف معا.
Album|Collection of songs released together.|مجموعة أغانٍ تصدر معا.
Anthem|The official song of a country.|النشيد الرسمي للدولة.
Lullaby|Soft song mothers sing to sleeping babies.|أغنية هادئة تغنيها الأمهات لتنويم الرضع.
Hymn|Religious song sung in worship.|أنشودة دينية تنشد في العبادة.
Knight|Armored warrior on horseback serving the king.|محارب مدرع على حصان يخدم الملك.
Armor|Metal suit protecting warriors in battle.|بدلة معدنية تحمي المحاربين في المعارك.
Spear|Long pole with a sharp point thrown in war.|عصا طويلة برأس حاد ترمى في الحرب.
Bow|Curved weapon shooting arrows.|سلاح مقوس يطلق السهام.
Arrow|Thin stick with a sharp tip flying to the target.|عود رفيع برأس حاد يطير نحو الهدف.
Dagger|Short hidden blade.|نصل قصير يخفى.
Cannon|Huge old gun firing iron balls.|مدفع قديم ضخم يقذف كرات حديدية.
Banner|Flag of an army or noble house.|راية الجيش أو البيت النبيل.
Flag|Colored cloth representing a country.|قماش ملون يمثل الدولة.
Torch|Burning stick lighting the way at night.|عصا مشتعلة تنير الطريق ليلا.
Quill|Bird feather dipped in ink for writing.|ريشة طائر تغمس في الحبر للكتابة.
Parchment|Animal skin ancient people wrote on.|جلد حيوان كتب عليه القدماء.
Coin|Round metal money.|نقود معدنية مستديرة.
Treasure|Chest of gold hidden by pirates.|صندوق ذهب خبأه القراصنة.
Throne|The grand chair only the king sits on.|الكرسي الفخم الذي لا يجلس عليه إلا الملك.
Palace|The huge magnificent home of kings.|البيت الضخم الفخم للملوك.
King|The man ruling the kingdom.|الرجل الذي يحكم المملكة.
Queen|The woman ruling or the king's wife.|المرأة الحاكمة أو زوجة الملك.
Prince|The king's son.|ابن الملك.
Princess|The king's daughter.|ابنة الملك.
Emperor|Ruler greater than a king, ruling an empire.|حاكم أعظم من الملك يحكم إمبراطورية.
Obelisk|Tall pointed stone pillar of ancient Egypt.|عمود حجري مدبب عالٍ من مصر القديمة.
Sphinx|Egyptian statue with lion body and human head.|تمثال مصري بجسد أسد ورأس إنسان.
Mummy|Ancient body wrapped in white bandages.|جثة قديمة ملفوفة بأربطة بيضاء.
Tribe|Big family group sharing one ancestor.|جماعة عائلية كبيرة من جد واحد.
Quran|The holy book of Muslims.|كتاب المسلمين المقدس.
Bible|The holy book of Christians.|كتاب المسيحيين المقدس.
Torah|The holy book of Jews.|كتاب اليهود المقدس.
Imam|Leads Muslims in prayer.|يؤم المسلمين في الصلاة.
Priest|Leads prayers in the church.|يقود الصلوات في الكنيسة.
Monk|Religious man living simply away from the world.|رجل دين يعيش ببساطة بعيدا عن الدنيا.
Nun|Religious woman devoted to worship.|امرأة متدينة نذرت حياتها للعبادة.
Altar|The raised holy table in churches.|الطاولة المقدسة المرتفعة في الكنائس.
Rosary|Beads counted while praising God.|حبات تعد أثناء التسبيح.
Dome|The rounded roof of mosques.|السقف المقبب للمساجد.
Factory|Building with machines making products.|مبنى بآلات تصنع المنتجات.
Escalator|Stairs that move you up by themselves.|درج يصعد بك من تلقاء نفسه.
Playground|Where kids swing, slide and run.|حيث يتأرجح الأطفال وينزلقون ويجرون.
Kindergarten|School for the youngest children.|مدرسة أصغر الأطفال.
University|Where students study after school for degrees.|حيث يدرس الطلاب بعد المدرسة للشهادات.
College|Higher school for a specific field.|معهد عالٍ لمجال محدد.
Tower|Very tall narrow building.|مبنى عالٍ ضيق جدا.
Clinic|Small place where one doctor sees patients.|مكان صغير يستقبل فيه طبيب مرضاه.
Fire station|Where fire trucks wait for emergencies.|حيث تنتظر سيارات الإطفاء الطوارئ.
City hall|The building where the mayor works.|المبنى الذي يعمل فيه رئيس البلدية.
Dock|Where ships tie up to load and unload.|حيث ترسو السفن للتحميل والتفريغ.
Curb|The raised edge between sidewalk and street.|الحافة المرتفعة بين الرصيف والشارع.
Gutter|Channel carrying rainwater off the roof.|قناة تصرف ماء المطر من السقف.
Lane|One marked strip of the road for cars.|شريط مرسوم واحد من الطريق للسيارات.
Kiosk|Tiny booth selling newspapers and snacks.|كشك صغير يبيع الجرائد والوجبات الخفيفة.
Stall|Small open table selling goods in the market.|طاولة مفتوحة صغيرة تبيع في السوق.
Grocery|Neighborhood shop selling food basics.|محل الحي الذي يبيع أساسيات الطعام.
Supermarket|Huge self-service food store with carts.|متجر طعام ضخم بالخدمة الذاتية والعربات.
Boutique|Small elegant shop of fashion.|محل صغير أنيق للأزياء.
Salon|Where hair is cut and styled.|حيث يقص الشعر ويصفف.
Spa|Place of massage and relaxation.|مكان التدليك والاسترخاء.
Gym|Where people lift weights and exercise.|حيث يرفع الناس الأثقال ويتمرنون.
Club|Place members meet for fun or sport.|مكان يلتقي فيه الأعضاء للترفيه أو الرياضة.
Cafe|Where people sit for coffee and talk.|حيث يجلس الناس للقهوة والحديث.
Arcade|Hall full of video game machines.|قاعة مليئة بآلات ألعاب الفيديو.
Amusement park|Park of rides, games and cotton candy.|مدينة الألعاب والمراجيح وغزل البنات.
Circus|Tent show of clowns and acrobats.|عرض خيمة بالمهرجين والبهلوانات.
Aquarium|Glass building displaying sea creatures.|مبنى زجاجي يعرض كائنات البحر.
Gallery|Hall displaying paintings and art.|قاعة تعرض اللوحات والفن.
Cemetery|Quiet place where the dead rest.|المكان الهادئ الذي يرقد فيه الموتى.
Orphanage|Home caring for children without parents.|دار ترعى الأطفال بلا والدين.
Nursing home|Home caring for the elderly.|دار ترعى كبار السن.
Shelter|Safe place for those without homes.|مكان آمن لمن لا مأوى لهم.
Barracks|Buildings where soldiers live.|مبانٍ يسكنها الجنود.
Fire hydrant|Red street pipe firefighters connect hoses to.|أنبوب أحمر في الشارع يصل به الإطفائيون خراطيمهم.
Manhole|Round metal cover in the street floor.|غطاء معدني مستدير في أرض الشارع.
Traffic jam|Hundreds of cars stuck not moving.|مئات السيارات عالقة لا تتحرك.
Pedestrian|Person walking in the street.|شخص يمشي في الشارع.
Landmark|Famous place everyone knows, like a tower.|مكان شهير يعرفه الجميع كبرج مثلا.
Courtyard|Open space enclosed inside a building.|فناء مفتوح داخل مبنى محاط.
Gate|Big outer door of a wall or fence.|الباب الخارجي الكبير للسور.
Drawbridge|Bridge that lifts to let ships pass.|جسر يرتفع ليمر تحته السفن.
Pipeline|Long tubes carrying oil across deserts.|أنابيب طويلة تنقل النفط عبر الصحاري.
Water tower|High tank storing water above the city.|خزان عالٍ يحفظ الماء فوق المدينة.
